223515.30477491932,0.0005,[4, 3, 3],4100
223515.30477491932,0.0005,[4, 3, 3],4200
68787.22067037027,0.0005,[4, 3, 3],4300
223515.30477491932,0.0005,[4, 3, 3],4400
68775.9479902755,0.0005,[4, 3, 3],4500
223515.30477491932,0.0005,[4, 3, 3],4600
68774.92254446706,0.0005,[4, 3, 3],4700
68776.21903609301,0.0005,[4, 3, 3],4800
223515.30477491932,0.0005,[4, 3, 3],4900
223515.30477491932,0.0005,[4, 3, 3],5000
70110.68984139552,0.0005,[4, 2, 3, 1],1000
68776.02834829268,0.0005,[4, 3, 3],5100
70276.01183651072,0.0005,[4, 2, 3, 1],1100
68775.30633164803,0.0005,[4, 3, 3],5200
223515.30477491932,0.0005,[4, 3, 3],5300
72174.19704896132,0.0005,[4, 2, 3, 1],1200
223515.30477491932,0.0005,[4, 2, 3, 1],1300
68776.19986829294,0.0005,[4, 3, 3],5400
223515.30477491932,0.0005,[4, 2, 3, 1],1400
68775.19385073493,0.0005,[4, 3, 3],5500
223515.30477491932,0.0005,[4, 2, 3, 1],1500
223515.30477491932,0.0005,[4, 2, 3, 1],1600
223515.30477491932,0.0005,[4, 3, 3],5600
68780.19697060932,0.0005,[4, 3, 3],5700
71577.0004327488,0.0005,[4, 2, 3, 1],1700
223515.30477491932,0.0005,[4, 2, 3, 1],1800
68777.61585437169,0.0005,[4, 3, 3],5800
69231.68815123783,0.0005,[4, 2, 3, 1],1900
223515.30477491932,0.0005,[4, 2, 3, 1],2000
68777.03350049777,0.0005,[4, 3, 3],5900
223515.30477491932,0.0005,[4, 2, 3, 1],2100
80945.6145581337,0.0005,[4, 2, 3, 1],2200
69548.92361988795,0.0005,[4, 2, 3, 1],2300
68932.228020609,0.0005,[4, 2, 3, 1],2400
69911.60926935017,0.0005,[4, 2, 3, 1],2500
69054.74165066596,0.0005,[4, 2, 3, 1],2600
73551.73412208179,0.0005,[4, 2, 3, 1],2700
68820.36327070142,0.0005,[4, 2, 3, 1],2800
223515.30477491932,0.0005,[4, 2, 3, 1],2900
69265.77968482551,0.0005,[4, 2, 3, 1],3000
69611.12738266868,0.0005,[4, 2, 3, 1],3100
69137.21614292427,0.0005,[4, 2, 3, 1],3200
68868.45717652116,0.0005,[4, 2, 3, 1],3300
68873.96717445916,0.0005,[4, 2, 3, 1],3400
69531.26085579908,0.0005,[4, 2, 3, 1],3500
223515.30477491932,0.0005,[4, 2, 3, 1],3600
68916.87825905619,0.0005,[4, 2, 3, 1],3700
223515.30477491932,0.0005,[4, 2, 3, 1],3800
223515.30477491932,0.0005,[4, 2, 3, 1],3900
223515.30477491932,0.0005,[4, 2, 3, 1],4000
69163.59959431367,0.0005,[4, 2, 3, 1],4100
223515.30477491932,0.0005,[4, 2, 3, 1],4200
223515.30477491932,0.0005,[4, 2, 3, 1],4300
68776.95480684651,0.0005,[4, 2, 3, 1],4400
223515.30477491932,0.0005,[4, 2, 3, 1],4500
223515.30477491932,0.0005,[4, 2, 3, 1],4600
68889.02030783723,0.0005,[4, 2, 3, 1],4700
68812.80435962834,0.0005,[4, 2, 3, 1],4800
68829.26153667965,0.0005,[4, 2, 3, 1],4900
70617.06691804841,0.0005,[5, 5],1000
223515.30477491932,0.0005,[4, 2, 3, 1],5000
70227.3966344428,0.0005,[5, 5],1100
68776.90481620886,0.0005,[4, 2, 3, 1],5100
72644.54258139661,0.0005,[5, 5],1200
70036.21690831443,0.0005,[5, 5],1300
68837.99688086871,0.0005,[4, 2, 3, 1],5200
223515.30477491932,0.0005,[5, 5],1400
68777.81809864845,0.0005,[4, 2, 3, 1],5300
223515.30477491932,0.0005,[5, 5],1500
223515.30477491932,0.0005,[5, 5],1600
68787.29777747336,0.0005,[4, 2, 3, 1],5400
68904.23261340441,0.0005,[5, 5],1700
